City_ID,City,Country,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jiangmen,CN,22.5833,113.0833,90.99,68,61,7.76,broken clouds
1,Hambantota,LK,6.1241,81.1185,79.14,89,40,4.61,scattered clouds
2,Olafsvik,IS,64.8945,-23.7142,41.14,91,100,35.79,overcast clouds
3,Touros,BR,-5.1989,-35.4608,76.01,78,45,13.42,scattered clouds
4,Bredasdorp,ZA,-34.5322,20.0403,48.24,83,75,4.43,broken clouds
5,Dikson,RU,73.5069,80.5464,32.49,77,100,19.69,overcast clouds
6,Constitucion,CL,-35.3333,-72.4167,49.91,91,38,6.4,scattered clouds
7,Albany,US,42.6001,-73.9662,52.45,77,100,3.67,overcast clouds
8,Rikitea,PF,-23.1203,-134.9692,70.59,61,77,24.14,broken clouds
9,Kodiak,US,57.79,-152.4072,51.31,87,100,19.57,moderate rain
10,Talnakh,RU,69.4865,88.3972,33.21,98,100,1.61,light snow
11,Leningradskiy,RU,69.3833,178.4167,23.23,84,26,4.16,scattered clouds
12,Puerto Ayora,EC,-0.7393,-90.3518,66.54,94,24,7.0,few clouds
13,Hilo,US,19.7297,-155.09,82.27,83,41,3.0,scattered clouds
14,Dunedin,NZ,-45.8742,170.5036,39.2,88,79,24.65,broken clouds
15,Umtata,ZA,-31.5889,28.7844,54.16,96,99,3.87,overcast clouds
16,Avarua,CK,-21.2078,-159.775,78.85,65,20,19.57,few clouds
17,Butaritari,KI,3.0707,172.7902,82.09,73,37,18.03,light rain
18,Avera,US,33.194,-82.5271,59.92,62,0,6.06,clear sky
19,Vaini,TO,-21.2,-175.2,75.36,94,75,10.36,thunderstorm
20,Punta Arenas,CL,-53.15,-70.9167,44.71,76,75,8.05,broken clouds
21,Walvis Bay,NA,-22.9575,14.5053,54.09,93,0,11.5,clear sky
22,New Norfolk,AU,-42.7826,147.0587,53.71,46,99,8.43,overcast clouds
23,Margate,GB,51.3813,1.3862,62.31,80,100,7.0,overcast clouds
24,Rio Grande,BR,-32.035,-52.0986,57.78,91,0,8.34,clear sky
25,Tabou,CI,4.423,-7.3528,76.28,91,100,6.38,overcast clouds
26,Ust-Nera,RU,64.5667,143.2,17.87,85,72,7.02,broken clouds
27,Berdigestyakh,RU,62.0989,126.6992,27.39,69,100,11.92,overcast clouds
28,Roseburg,US,43.2165,-123.3417,71.35,66,26,1.01,scattered clouds
29,Aklavik,CA,68.2191,-135.0107,29.3,94,6,8.97,clear sky
